host_id,host_name,host_location,host_is_superhost,host_neighbourhood,host_listings_count
1318753,"Vosse","Amsterdam, North Holland, Netherlands","f","",1
4698057,"Bjorn","Amsterdam, North Holland, Netherlands","f","",1
5617764,"Inge","Amsterdam, North Holland, Netherlands","f","",1
4627355,"Alexandros","Amsterdam, North Holland, Netherlands","f","",1
318754,"Daphne","Amsterdam, North Holland, Netherlands","f","",1
6074859,"Truus","Amsterdam, North Holland, Netherlands","f","",1
7203986,"Mechtelien","Amsterdam, North Holland, Netherlands","f","",1
7943234,"Quirine","Amsterdam, North Holland, Netherlands","f","",1
2906390,"Rick","Amsterdam, North Holland, Netherlands","f","",1
8558478,"Remko","Amsterdam, North Holland, Netherlands","f","",1
8569982,"Wendy","Amsterdam, North Holland, Netherlands","f","",1
8702708,"Dennis","Amsterdam, North Holland, Netherlands","f","",1
4031195,"Victor","Amsterdam, North Holland, Netherlands","f","",1
2306959,"Ana","Amsterdam, North Holland, Netherlands","f","",1
9446964,"Rosa","Amsterdam, North Holland, Netherlands","f","",1
9566467,"Pien","Amsterdam, North Holland, Netherlands","f","",1
9598593,"Destiny","Amsterdam, North Holland, Netherlands","f","",1
9705888,"Yana","Amsterdam, North Holland, Netherlands","f","",1
9752532,"Michel","Amsterdam, North Holland, Netherlands","f","",1
3632839,"Ernestien","Amsterdam, North Holland, Netherlands","f","",1
10188899,"Kim","Amsterdam, North Holland, Netherlands","f","",1
10312977,"Fernando Jose","Amsterdam, North Holland, Netherlands","f","",1
9123230,"Kristel","Amsterdam, North Holland, Netherlands","f","",1
10743172,"Lot","Amsterdam, North Holland, Netherlands","f","",1
13436910,"Eva","Amsterdam, North Holland, Netherlands","f","",1
13885006,"Lieske","Amsterdam, North Holland, Netherlands","f","",1
10316621,"Yulia","Amsterdam, North Holland, Netherlands","f","",1
14086945,"Elli","Amsterdam, North Holland, Netherlands","f","",1
2965087,"Cozy Apartment Near Vondelpark","Amsterdam, North Holland, Netherlands","f","",1
