listing_id,name,host_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,listing_url,accommodates (groups)
432750,"Apartment with the great sunshine!",1725242,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",28,1,100,10,10,10,10,10,10,"https://www.airbnb.com/rooms/432750","2"
1188058,"Romantic place near Museum Quarter!",6496355,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",122,1,100,10,10,10,10,10,10,"https://www.airbnb.com/rooms/1188058","2"
2130337,"Nice two floor apartment",10868551,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",100,1,100,10,10,10,10,10,10,"https://www.airbnb.com/rooms/2130337","2"
4340160,"Spacious modern apartment 65m2",7372480,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",101,1,100,10,10,10,10,10,10,"https://www.airbnb.com/rooms/4340160","2"
5956911,"Chill Amsterdam Apartment!",4034155,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",90,1,100,10,10,10,10,10,10,"https://www.airbnb.com/rooms/5956911","2"
7297685,"Great appartment near the centre",38223839,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",82,1,100,10,10,10,10,10,10,"https://www.airbnb.com/rooms/7297685","2"
7299468,"Light and relaxing home in the Pijp",977201,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",70,1,100,10,10,10,10,10,10,"https://www.airbnb.com/rooms/7299468","2"
7486249,"Cosy clean flat close to the center",4418454,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",100,1,100,10,10,10,10,10,10,"https://www.airbnb.com/rooms/7486249","2"
7772045,"Spacious apt. on prime location",40882165,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",125,1,100,10,10,10,10,10,10,"https://www.airbnb.com/rooms/7772045","2"
7792521,"For couple, located near to city center.",38164584,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",90,1,100,10,10,10,10,10,10,"https://www.airbnb.com/rooms/7792521","2"
7840402,"Spacious (60m2) Apartment",41306623,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",69,1,100,10,10,10,10,10,10,"https://www.airbnb.com/rooms/7840402","2"
